,host_id,host_response_rate,host_listings_count,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,number_of_reviews_ltm,calculated_host_listings_count,reviews_per_month,dist_from_center,property_type_clean,parking,price_log,price_RobustScaler,parking_num
93,441886,100.0,8.0,Hammersmith and Fulham,W6 0EY,51.4971,-0.23354,House,Entire home/apt,5,2.0,3.0,3.0,300.0,500.0,120.0,1,0.0,77,4,3,0.78,8.110743456466384,House,1.0,5.703782474656201,2.3085106382978724,1.0
96,445322,100.0,1.0,Havering,RM7 8AQ,51.585190000000004,0.15639,House,Entire home/apt,2,2.0,1.0,1.0,190.0,0.0,0.0,2,195.0,0,0,1,,20.73284669755817,House,1.0,5.247024072160486,1.1382978723404256,1.0
102,465847,100.0,1.0,Merton,SW19 3SD,51.41944,-0.20749,House,Entire home/apt,7,2.0,4.0,4.0,150.0,1000.0,80.0,8,0.0,34,9,1,1.73,11.801559194233764,House,1.0,5.0106352940962555,0.7127659574468085,1.0
116,491286,100.0,2.0,Kensington and Chelsea,W11 3,51.510740000000006,-0.19852999999999998,House,Entire home/apt,2,1.0,1.0,1.0,105.0,0.0,35.0,2,10.0,337,42,2,3.44,5.564051729325128,House,0.0,4.653960350157523,0.23404255319148937,0.0
144,535247,100.0,3.0,Hackney,E8 1EN,51.54647,-0.056639999999999996,House,Entire home/apt,6,1.0,3.0,3.0,140.0,100.0,50.0,1,25.0,27,3,3,0.28,5.8818096524958,House,1.0,4.941642422609304,0.6063829787234043,1.0
153,564310,100.0,1.0,Islington,N1 3BH,51.540890000000005,-0.08900000000000001,House,Entire home/apt,4,1.0,2.0,3.0,250.0,1500.0,75.0,1,0.0,5,0,1,0.07,3.9914874624456087,House,1.0,5.521460917862246,1.7765957446808511,1.0
171,694198,100.0,2.0,Merton,SM4 5,51.40269,-0.19177,House,Entire home/apt,7,1.0,2.0,2.0,125.0,400.0,35.0,4,15.0,3,2,2,0.13,12.956525966946737,House,1.0,4.8283137373023015,0.44680851063829785,1.0
188,81675,,3.0,Merton,SW19 4,51.422540000000005,-0.21679,House,Entire home/apt,10,6.0,5.0,5.0,650.0,0.0,0.0,1,0.0,1,0,3,0.02,11.868162539274115,House,1.0,6.476972362889683,6.031914893617022,1.0
270,565948,100.0,11.0,Tower Hamlets,E3 5LZ,51.53179,-0.03413,House,Entire home/apt,2,1.5,1.0,2.0,110.0,500.0,150.0,6,10.0,29,0,2,0.32,6.296105837363369,House,1.0,4.700480365792417,0.2872340425531915,1.0
271,1270769,,1.0,Islington,N7 0RA,51.55294,-0.13252,House,Entire home/apt,6,2.0,3.0,4.0,109.0,150.0,50.0,2,30.0,2,0,1,0.03,4.889523085722494,House,0.0,4.6913478822291435,0.2765957446808511,0.0
274,1291505,,1.0,Islington,N19 5,51.55588,-0.13372,House,Entire home/apt,7,2.5,5.0,4.0,300.0,500.0,0.0,1,0.0,2,0,1,0.02,5.226296290325684,House,0.0,5.703782474656201,2.3085106382978724,0.0
295,1384320,100.0,1.0,Newham,E16 4,51.51797,0.02317,House,Entire home/apt,5,1.0,2.0,3.0,80.0,200.0,80.0,4,50.0,25,8,1,0.27,9.810527801471363,House,1.0,4.382026634673881,-0.031914893617021274,1.0
330,639749,100.0,2.0,Westminster,W9 1,51.52864,-0.18484,House,Entire home/apt,6,2.0,3.0,2.0,950.0,2000.0,250.0,1,0.0,0,0,2,,5.065133230360661,House,1.0,6.856461984594587,9.22340425531915,1.0
352,1506151,0.0,1.0,Newham,E15 4PU,51.53625,0.0048,House,Entire home/apt,6,0.0,3.0,3.0,572.0,0.0,30.0,6,0.0,0,0,1,,8.98864894789625,House,1.0,6.349138991379798,5.202127659574468,1.0
377,1558813,100.0,1.0,Southwark,SE22 0DT,51.44648,-0.06945,House,Entire home/apt,8,2.5,4.0,4.0,200.0,500.0,50.0,8,0.0,6,3,1,0.08,7.806834642097337,House,1.0,5.298317366548036,1.2446808510638299,1.0
378,1559053,,1.0,Lewisham,SE13 7XD,51.45559,-0.02008,House,Entire home/apt,5,1.0,3.0,2.0,85.0,195.0,35.0,4,6.0,0,0,1,,9.076474474641516,House,1.0,4.442651256490317,0.02127659574468085,1.0
384,1569324,100.0,1.0,Waltham Forest,,51.55539,-0.0019100000000000002,House,Entire home/apt,10,1.0,5.0,5.0,200.0,0.0,65.0,5,15.0,113,10,1,1.29,9.491892733173293,House,1.0,5.298317366548036,1.2446808510638299,1.0
410,1614205,100.0,1.0,Hackney,N16 0SS,51.55701,-0.08336,House,Entire home/apt,6,1.5,3.0,3.0,97.0,0.0,60.0,1,0.0,6,2,1,0.08,5.762927768374803,House,1.0,4.574710978503383,0.14893617021276595,1.0
435,1666422,,2.0,Camden,NW3 6NE,51.54999,-0.18455,House,Entire home/apt,8,2.5,3.0,4.0,801.0,801.0,0.0,1,0.0,0,0,2,,6.402324298703257,House,1.0,6.68586094706836,7.638297872340425,1.0
446,1013310,100.0,1.0,Hackney,E5,51.55206,-0.05641,House,Entire home/apt,7,1.5,4.0,7.0,190.0,0.0,60.0,7,40.0,5,2,1,0.08,6.337850985145929,House,0.0,5.247024072160486,1.1382978723404256,0.0
492,1621004,100.0,6.0,Camden,NW1 8DD,51.544,-0.14509,House,Entire home/apt,9,1.0,3.0,3.0,275.0,300.0,150.0,6,25.0,38,4,4,0.78,4.22761741369907,House,1.0,5.616771097666572,2.0425531914893615,1.0
513,1755482,100.0,1.0,Brent,NW10 3EH,51.54071,-0.22338000000000002,House,Entire home/apt,7,2.0,4.0,4.0,250.0,100.0,60.0,1,0.0,0,0,1,,8.046082037553576,House,1.0,5.521460917862246,1.7765957446808511,1.0
551,1598182,100.0,2.0,Hackney,E8 3RF,51.540929999999996,-0.05371,House,Entire home/apt,3,1.0,2.0,2.0,101.0,0.0,60.0,3,50.0,19,7,1,0.71,5.63301189187081,House,1.0,4.61512051684126,0.19148936170212766,1.0
553,1554514,100.0,1.0,Hammersmith and Fulham,W12 9NF,51.50195,-0.24959,House,Entire home/apt,2,1.0,1.0,1.0,84.0,100.0,25.0,1,0.0,48,1,1,0.57,9.13788670368131,House,0.0,4.430816798843313,0.010638297872340425,0.0
591,1941480,100.0,1.0,Brent,NW6 7ER,51.538909999999994,-0.20002,House,Entire home/apt,12,1.5,3.0,8.0,210.0,100.0,0.0,8,10.0,78,20,1,0.88,6.5195207261802715,House,1.0,5.3471075307174685,1.351063829787234,1.0
608,1944988,75.0,1.0,Hackney,N16 0EU,51.56054,-0.07686,House,Entire home/apt,7,2.0,4.0,7.0,140.0,0.0,50.0,4,20.0,12,0,1,0.18,6.311436407908257,House,1.0,4.941642422609304,0.6063829787234043,1.0
670,1189163,100.0,3.0,Lambeth,SE11 4TX,51.491890000000005,-0.10909,House,Entire home/apt,8,3.5,3.0,1.0,500.0,1000.0,120.0,1,0.0,1,0,3,0.01,2.092290977702879,House,1.0,6.214608098422191,4.4361702127659575,1.0
713,958656,100.0,1.0,Ealing,UB5,51.54815,-0.36330999999999997,House,Entire home/apt,2,1.0,1.0,1.0,50.0,0.0,7.0,1,0.0,175,36,1,1.98,17.47833251195765,House,1.0,3.912023005428146,-0.35106382978723405,1.0
749,1952082,100.0,10.0,Camden,NW1 7ES,51.54143,-0.14645999999999998,House,Entire home/apt,8,1.5,2.0,6.0,200.0,300.0,40.0,4,27.0,67,3,2,0.76,4.018761006290898,House,1.0,5.298317366548036,1.2446808510638299,1.0
759,2091712,,1.0,Wandsworth,SW17 8LQ,51.4275,-0.15909,House,Entire home/apt,6,1.0,2.0,1.0,178.0,0.0,0.0,1,0.0,0,0,1,,9.582730944353582,House,1.0,5.181783550292085,1.0106382978723405,1.0
774,2110389,,1.0,Newham,E6 5SQ,51.51367,0.046560000000000004,House,Entire home/apt,4,1.0,2.0,1.0,181.0,0.0,0.0,1,0.0,0,0,1,,11.395037017703938,House,1.0,5.198497031265826,1.0425531914893618,1.0
783,2124185,57.0,2.0,Lambeth,SE5 9PG,51.46673,-0.09625,House,Entire home/apt,5,2.0,2.0,3.0,100.0,300.0,35.0,2,5.0,18,2,2,0.23,5.026001750278138,House,0.0,4.605170185988092,0.18085106382978725,0.0
790,2132532,,1.0,Lewisham,SE10,51.46921,-0.007670000000000001,House,Entire home/apt,6,3.0,3.0,3.0,1500.0,600.0,0.0,1,0.0,0,0,1,,8.876169778339568,House,1.0,7.313220387090301,15.074468085106384,1.0
805,2134315,,1.0,Redbridge,E11 3QX,51.56434,0.02424,House,Entire home/apt,4,1.0,2.0,3.0,62.0,100.0,30.0,2,25.0,67,0,1,0.79,11.551328302304778,House,1.0,4.127134385045092,-0.22340425531914893,1.0
824,2178400,,1.0,Camden,NW5 4BU,51.54963,-0.14793,House,Entire home/apt,5,1.5,3.0,5.0,120.0,0.0,0.0,1,0.0,4,0,1,0.05,4.876633223447154,House,0.0,4.787491742782046,0.39361702127659576,0.0
828,1869784,97.0,7.0,Newham,E15 1DP,51.54899,-0.00141,House,Entire home/apt,8,1.5,4.0,4.0,129.0,200.0,40.0,1,0.0,10,6,7,0.43,9.163595431807549,House,1.0,4.859812404361672,0.48936170212765956,1.0
845,1917213,,1.0,Camden,NW5 1SU,51.557159999999996,-0.14576,House,Entire home/apt,8,2.0,4.0,6.0,295.0,0.0,0.0,1,0.0,0,0,1,,5.592848415243529,House,0.0,5.68697535633982,2.25531914893617,0.0
852,2214214,100.0,1.0,Brent,NW2 4NA,51.554320000000004,-0.22721,House,Entire home/apt,12,2.5,5.0,7.0,300.0,0.0,60.0,1,0.0,27,9,1,0.35,9.016828765140573,House,1.0,5.703782474656201,2.3085106382978724,1.0
859,2220786,,1.0,Havering,RM7 7HT,51.57863,0.17092000000000002,House,Entire home/apt,5,1.0,2.0,5.0,100.0,0.0,75.0,1,75.0,11,0,1,0.15,21.38540349711803,House,1.0,4.605170185988092,0.18085106382978725,1.0
870,2236798,,1.0,Southwark,SE16 3JA,51.48675,-0.06394,House,Entire home/apt,5,1.0,3.0,1.0,199.0,0.0,0.0,1,0.0,0,0,1,,4.542257746631951,House,1.0,5.293304824724492,1.2340425531914894,1.0
876,2248527,,1.0,Brent,NW2 5PJ,51.54777,-0.23534000000000002,House,Entire home/apt,6,1.5,3.0,3.0,250.0,500.0,50.0,1,0.0,0,0,1,,9.134853173875246,House,0.0,5.521460917862246,1.7765957446808511,0.0
880,2255965,100.0,1.0,Hackney,E9 7DB,51.53731,-0.04191,House,Entire home/apt,7,1.5,3.0,4.0,149.0,0.0,60.0,1,0.0,37,19,1,1.2,6.086547205071685,House,0.0,5.003946305945459,0.7021276595744681,0.0
900,2282081,,1.0,Wandsworth,SW11 6HJ,51.45525,-0.1639,House,Entire home/apt,4,1.0,2.0,2.0,99.0,150.0,0.0,1,0.0,4,0,1,0.09,6.847138829846474,House,1.0,4.59511985013459,0.1702127659574468,1.0
905,2289099,100.0,1.0,Barnet,N20 0JA,51.62758,-0.16852999999999999,House,Entire home/apt,8,2.5,4.0,6.0,130.0,300.0,30.0,6,25.0,0,0,1,,13.537075949402649,House,1.0,4.867534450455582,0.5,1.0
972,359943,100.0,5.0,Kensington and Chelsea,W11 2EH,51.51549,-0.2063,House,Entire home/apt,9,4.0,4.0,6.0,2000.0,300.0,100.0,7,100.0,0,0,3,,6.132209250521025,House,0.0,7.600902459542082,20.393617021276597,0.0
1036,510363,0.0,0.0,Islington,WC1X,51.528659999999995,-0.11482,House,Entire home/apt,2,1.0,2.0,1.0,450.0,0.0,0.0,2,0.0,0,0,2,,2.10081534388397,House,0.0,6.1092475827643655,3.904255319148936,0.0
1056,581309,,1.0,Lambeth,SW2 4PW,51.44182,-0.13239,House,Entire home/apt,4,1.0,2.0,2.0,130.0,0.0,40.0,1,0.0,13,1,1,0.15,7.625991723118523,House,1.0,4.867534450455582,0.5,1.0
1062,2490500,,1.0,Wandsworth,SW18 3JT,51.44331,-0.17193,House,Entire home/apt,7,1.0,3.0,5.0,150.0,0.0,40.0,1,0.0,4,0,1,0.08,8.281596989733103,House,0.0,5.0106352940962555,0.7127659574468085,0.0
1063,2508973,100.0,1.0,Tower Hamlets,E14 3DT,51.487190000000005,-0.01154,House,Entire home/apt,9,3.0,5.0,5.0,335.0,500.0,100.0,4,25.0,10,1,1,0.21,7.789966791321128,House,1.0,5.814130531825066,2.6808510638297873,1.0
1095,2546459,100.0,1.0,Redbridge,E11 2JP,51.57527,0.03113,House,Entire home/apt,7,3.0,3.0,4.0,150.0,0.0,80.0,1,0.0,161,17,1,1.92,12.616873564769223,House,1.0,5.0106352940962555,0.7127659574468085,1.0
1100,2555825,100.0,2.0,Tower Hamlets,E3 2TJ,51.52944,-0.02079,House,Entire home/apt,5,2.0,2.0,2.0,104.0,300.0,0.0,1,0.0,15,3,2,0.35,7.071062495987452,House,0.0,4.6443908991413725,0.22340425531914893,0.0
1117,2529797,,2.0,Tower Hamlets,E2 7NJ,51.52796,-0.07161000000000001,House,Entire home/apt,4,1.5,2.0,3.0,140.0,350.0,60.0,1,0.0,57,2,2,0.68,3.791321658572917,House,1.0,4.941642422609304,0.6063829787234043,1.0
1119,2571027,,1.0,Lewisham,SE13 7JT,51.46163,-0.01959,House,Entire home/apt,4,1.0,2.0,1.0,260.0,300.0,0.0,1,35.0,0,0,1,,8.671303603879277,House,0.0,5.560681631015528,1.8829787234042554,0.0
1130,2581266,,1.0,Barnet,N2 0TF,51.590920000000004,-0.17535,House,Entire home/apt,4,2.5,3.0,3.0,200.0,0.0,120.0,1,0.0,0,0,1,,9.837926708296239,House,1.0,5.298317366548036,1.2446808510638299,1.0
1132,2585853,,1.0,Waltham Forest,E17 6HT,51.59022,-0.03572,House,Entire home/apt,4,1.0,2.0,2.0,75.0,0.0,0.0,1,0.0,0,0,1,,10.589331484092746,House,0.0,4.31748811353631,-0.0851063829787234,0.0
1138,2589288,,1.0,Redbridge,IG8 7AF,51.60078,0.03549,House,Entire home/apt,7,1.5,4.0,6.0,150.0,200.0,0.0,1,0.0,3,0,1,0.05,14.651686337958253,House,1.0,5.0106352940962555,0.7127659574468085,1.0
1148,1870819,,1.0,Southwark,SE22 0SB,51.45348,-0.05432000000000001,House,Entire home/apt,6,1.5,3.0,3.0,275.0,0.0,30.0,1,20.0,0,0,1,,7.664045313813429,House,1.0,5.616771097666572,2.0425531914893615,1.0
1158,2540943,90.0,1.0,Brent,NW10 5LS,51.53032,-0.21705,House,Entire home/apt,8,2.5,4.0,4.0,304.0,250.0,80.0,8,0.0,53,16,1,1.02,7.210269550887346,House,0.0,5.717027701406222,2.351063829787234,0.0
1166,2624990,,1.0,Ealing,NW10 6UB,51.53118,-0.24963000000000002,House,Entire home/apt,4,0.0,3.0,0.0,300.0,0.0,20.0,1,0.0,0,0,1,,9.398670454141774,House,0.0,5.703782474656201,2.3085106382978724,0.0
1171,2110774,100.0,2.0,Hackney,E5 0AX,51.55734,-0.04576,House,Entire home/apt,8,2.0,4.0,4.0,140.0,0.0,40.0,6,25.0,7,0,1,0.12,7.268620371277297,House,0.0,4.941642422609304,0.6063829787234043,0.0
1197,381894,92.0,47.0,Merton,SW19 2EB,51.414770000000004,-0.17690999999999998,House,Entire home/apt,9,2.0,4.0,8.0,150.0,0.0,65.0,6,10.0,3,0,38,0.04,11.324918125921862,House,0.0,5.0106352940962555,0.7127659574468085,0.0
1198,2490271,,1.0,Southwark,SE24 9NA,51.45284,-0.09722,House,Entire home/apt,6,1.5,3.0,3.0,450.0,100.0,50.0,4,50.0,0,0,1,,6.499451314065256,House,0.0,6.1092475827643655,3.904255319148936,0.0
1211,2556468,,1.0,Hackney,SE10 9NQ,51.54826,-0.028610000000000003,House,Entire home/apt,6,1.5,3.0,4.0,400.0,0.0,0.0,1,0.0,0,0,1,,7.5148332356609915,House,1.0,5.991464547107982,3.372340425531915,1.0
1214,2705499,86.0,1.0,Haringey,N22 7UN,51.599940000000004,-0.13742000000000001,House,Entire home/apt,8,2.0,3.0,5.0,149.0,0.0,0.0,5,20.0,11,1,1,0.18,10.098286340549764,House,1.0,5.003946305945459,0.7021276595744681,1.0
1236,1945624,100.0,2.0,Wandsworth,SW18 3JU,51.44147,-0.17440999999999998,House,Entire home/apt,8,3.5,5.0,7.0,200.0,1000.0,100.0,4,15.0,32,22,1,0.5,8.541687858324924,House,1.0,5.298317366548036,1.2446808510638299,1.0
1242,1581619,100.0,2.0,Lambeth,SE11 5PG,51.48842,-0.11298,House,Entire home/apt,4,1.0,2.0,2.0,200.0,500.0,100.0,1,0.0,2,0,2,0.03,2.409174534821982,House,0.0,5.298317366548036,1.2446808510638299,0.0
1251,1950501,100.0,5.0,Redbridge,E11 3BW,51.56723,0.01892,House,Entire home/apt,8,1.0,4.0,5.0,600.0,250.0,80.0,5,0.0,0,0,4,,11.415721597666634,House,1.0,6.396929655216146,5.5,1.0
1268,2779580,,1.0,Hammersmith and Fulham,W12 7BG,51.50898,-0.23212,House,Entire home/apt,8,1.5,4.0,5.0,180.0,300.0,60.0,1,0.0,12,0,1,0.17,7.887097478997727,House,0.0,5.19295685089021,1.0319148936170213,0.0
1283,2802762,,1.0,Lewisham,SE23 3SG,51.44919,-0.0566,House,Entire home/apt,12,3.0,5.0,9.0,300.0,500.0,79.0,6,0.0,8,0,1,0.1,7.973259388816448,House,1.0,5.703782474656201,2.3085106382978724,1.0
1291,1983648,100.0,2.0,Hackney,E5 0AX,51.557520000000004,-0.046110000000000005,House,Entire home/apt,5,2.5,3.0,3.0,78.0,450.0,0.0,1,0.0,5,0,2,0.06,7.266556329026758,House,0.0,4.356708826689592,-0.05319148936170213,0.0
1297,2242484,,1.0,Hackney,E8 3EX,51.54661,-0.06642,House,Entire home/apt,4,1.5,2.0,3.0,210.0,200.0,20.0,1,0.0,33,0,1,0.41,5.4253659086077555,House,1.0,5.3471075307174685,1.351063829787234,1.0
1344,2890473,,1.0,Newham,E15 2AS,51.55045,-0.0034100000000000003,House,Entire home/apt,8,1.0,3.0,5.0,352.0,0.0,0.0,1,0.0,0,0,1,,9.121133135709307,House,0.0,5.863631175598097,2.8617021276595747,0.0
1374,2916200,,1.0,Haringey,N17 0AY,51.59948,-0.06452999999999999,House,Entire home/apt,3,1.0,2.0,2.0,100.0,0.0,0.0,1,0.0,0,0,1,,10.623900459183798,House,1.0,4.605170185988092,0.18085106382978725,1.0
1389,2938071,100.0,4.0,Hounslow,W6 0XH,51.49753,-0.24572,House,Entire home/apt,4,1.0,1.0,3.0,150.0,100.0,30.0,2,0.0,15,5,4,0.22,8.933986498722122,House,1.0,5.0106352940962555,0.7127659574468085,1.0
1446,3005827,0.0,1.0,Islington,N5 1NH,51.55151,-0.10322,House,Entire home/apt,5,2.0,3.0,3.0,249.0,0.0,0.0,1,0.0,6,2,1,0.08,4.740631534581289,House,0.0,5.517452896464707,1.7659574468085106,0.0
1452,2808546,100.0,2.0,Camden,NW1 9PP,51.542120000000004,-0.14137,House,Entire home/apt,8,2.5,4.0,4.0,125.0,150.0,30.0,2,20.0,148,5,2,1.76,3.9290728052399033,House,0.0,4.8283137373023015,0.44680851063829785,0.0
1457,1988040,100.0,1.0,Wandsworth,SW11 6LA,51.45093,-0.158,House,Entire home/apt,12,2.5,4.0,7.0,349.0,300.0,50.0,5,25.0,86,6,1,1.06,7.107712994494498,House,1.0,5.855071922202427,2.8297872340425534,1.0
1482,3052501,,1.0,Lambeth,SW2 2NJ,51.44604,-0.11142,House,Entire home/apt,2,1.0,1.0,1.0,60.0,400.0,30.0,2,30.0,10,0,1,0.14,7.107576665404573,House,1.0,4.0943445622221,-0.24468085106382978,1.0
1512,3111117,,1.0,Southwark,SE22 0RS,51.45139,-0.05914,House,Entire home/apt,6,1.0,3.0,5.0,240.0,2000.0,300.0,8,50.0,0,0,1,,7.67266285912318,House,1.0,5.480638923341991,1.6702127659574468,1.0
1528,3080977,100.0,0.0,Hackney,E8 2NE,51.5473,-0.07134,House,Entire home/apt,2,1.0,2.0,1.0,97.0,150.0,50.0,1,10.0,10,1,1,0.12,5.268019750156887,House,1.0,4.574710978503383,0.14893617021276595,1.0
1534,3172295,,2.0,Kensington and Chelsea,W10 5SY,51.52183,-0.21006,House,Entire home/apt,4,1.0,3.0,1.0,115.0,150.0,25.0,2,0.0,10,0,2,0.16,6.497358316080245,House,0.0,4.74493212836325,0.3404255319148936,0.0
1546,3155639,80.0,11.0,Camden,WC2H 9QR,51.514070000000004,-0.12607000000000002,House,Entire home/apt,5,1.0,2.0,2.0,160.0,200.0,70.0,4,20.0,152,20,4,1.91,0.7230344818951826,House,0.0,5.075173815233827,0.8191489361702128,0.0
1550,2042365,100.0,3.0,Islington,EC1V 7NH,51.52948,-0.10439000000000001,House,Entire home/apt,5,1.5,3.0,3.0,250.0,350.0,85.0,1,0.0,20,11,2,1.35,2.3767298411843205,House,1.0,5.521460917862246,1.7765957446808511,1.0
1558,2329892,100.0,8.0,Hammersmith and Fulham,SW6 4HS,51.47735,-0.20205,House,Entire home/apt,11,4.0,6.0,6.0,700.0,500.0,200.0,1,0.0,2,0,1,0.05,6.840858565656173,House,0.0,6.551080335043404,6.5638297872340425,0.0
1559,311101,,1.0,Lewisham,SE4 1JX,51.456179999999996,-0.024319999999999998,House,Entire home/apt,4,1.0,2.0,2.0,199.0,300.0,40.0,1,0.0,0,0,1,,8.814814828985583,House,1.0,5.293304824724492,1.2340425531914894,1.0
1567,1869784,97.0,7.0,Newham,E15 1RG,51.54852,0.014669999999999999,House,Entire home/apt,8,1.0,3.0,4.0,116.0,200.0,35.0,8,15.0,46,6,7,0.63,10.133650999011149,House,1.0,4.7535901911063645,0.35106382978723405,1.0
1571,3375218,,2.0,Brent,NW10 3PS,51.5358,-0.22853,House,Entire home/apt,7,1.0,4.0,3.0,200.0,250.0,150.0,1,0.0,1,0,1,0.01,8.161721506040625,House,1.0,5.298317366548036,1.2446808510638299,1.0
1609,3498210,,1.0,Lambeth,SW16 2NY,51.436009999999996,-0.1237,House,Entire home/apt,1,1.0,1.0,1.0,136.0,0.0,150.0,2,230.0,0,0,1,,8.216319915222778,House,0.0,4.912654885736052,0.5638297872340425,0.0
1619,3546105,50.0,1.0,Waltham Forest,E17 4RE,51.5906,-0.0199,House,Entire home/apt,5,1.0,3.0,4.0,75.0,0.0,0.0,1,0.0,6,5,1,0.49,11.248520711370054,House,1.0,4.31748811353631,-0.0851063829787234,1.0
1628,3305077,100.0,1.0,Wandsworth,SW18 1LT,51.4517,-0.20135,House,Entire home/apt,6,2.0,2.0,4.0,110.0,0.0,20.0,2,20.0,212,11,1,2.58,8.658999761248388,House,1.0,4.700480365792417,0.2872340425531915,1.0
1653,1419096,0.0,4.0,Hillingdon,UB4 9LB,51.53161,-0.40173000000000003,House,Entire home/apt,6,1.0,3.0,3.0,100.0,100.0,15.0,1,10.0,0,0,4,,19.760588115005792,House,1.0,4.605170185988092,0.18085106382978725,1.0
1669,3734523,,1.0,Haringey,N15 3NB,51.591590000000004,-0.09985,House,Entire home/apt,4,2.0,2.0,2.0,55.0,0.0,20.0,1,0.0,0,0,1,,9.168761476473257,House,0.0,4.007333185232471,-0.2978723404255319,0.0
1675,580475,100.0,53.0,Westminster,SW1V 2DB,51.49142,-0.14077,House,Entire home/apt,3,1.5,0.0,1.0,80.0,0.0,35.0,2,20.0,297,22,50,3.62,2.5811496068672315,House,0.0,4.382026634673881,-0.031914893617021274,0.0
1721,3921373,100.0,2.0,Wandsworth,SW17 7EE,51.44301,-0.16571,House,Entire home/apt,8,1.5,3.0,5.0,300.0,300.0,50.0,5,50.0,6,4,2,0.07,8.127494139407604,House,0.0,5.703782474656201,2.3085106382978724,0.0
1725,3938142,100.0,2.0,Wandsworth,SW12 9QR,51.4444,-0.14820999999999998,House,Entire home/apt,8,2.0,4.0,4.0,200.0,0.0,0.0,1,0.0,5,0,1,0.07,7.567563018330278,House,0.0,5.298317366548036,1.2446808510638299,0.0
1744,3945420,100.0,1.0,Lambeth,SE11 4AL,51.48665,-0.11008,House,Entire home/apt,4,2.0,2.0,2.0,199.0,500.0,50.0,4,100.0,26,9,1,0.45,2.6386403768416686,House,0.0,5.293304824724492,1.2340425531914894,0.0
1784,381894,92.0,47.0,Waltham Forest,E17 4PB,51.59352,-0.01779,House,Entire home/apt,10,2.0,3.0,6.0,140.0,0.0,65.0,6,10.0,9,0,38,0.15,11.595413769585331,House,0.0,4.941642422609304,0.6063829787234043,0.0
1807,4187991,100.0,1.0,Brent,NW10 1ND,51.55383,-0.23961,House,Entire home/apt,5,1.5,3.0,3.0,145.0,500.0,60.0,5,20.0,43,10,1,0.59,9.717794322359143,House,1.0,4.976733742420574,0.6595744680851063,1.0
1810,4092127,90.0,7.0,Waltham Forest,E11,51.569829999999996,0.0123,House,Entire home/apt,8,2.0,3.0,6.0,183.0,200.0,80.0,1,0.0,26,12,1,0.51,11.208220270402672,House,1.0,5.209486152841421,1.0638297872340425,1.0
1816,2809042,100.0,2.0,Tower Hamlets,E2 9AP,51.53198,-0.06246,House,Entire home/apt,4,1.0,2.0,2.0,160.0,1000.0,50.0,2,50.0,3,0,2,0.04,4.564698553268268,House,0.0,5.075173815233827,0.8191489361702128,0.0
1818,3983636,,2.0,Lambeth,SE24 0EG,51.45236,-0.10390999999999999,House,Entire home/apt,8,1.0,3.0,3.0,159.0,350.0,20.0,4,15.0,62,0,1,0.78,6.465182368789988,House,0.0,5.0689042022202315,0.8085106382978723,0.0
1901,4465697,100.0,1.0,Camden,N6,51.56623,-0.14522000000000002,House,Entire home/apt,7,1.5,4.0,4.0,150.0,0.0,90.0,7,0.0,20,4,1,0.27,6.538206618107454,House,1.0,5.0106352940962555,0.7127659574468085,1.0
1986,4972194,100.0,3.0,Lewisham,SE23 1AS,51.44312,-0.04337,House,Entire home/apt,5,1.5,3.0,5.0,80.0,150.0,30.0,7,20.0,3,1,3,0.06,9.04207576841288,House,1.0,4.382026634673881,-0.031914893617021274,1.0
1990,4979028,100.0,1.0,Harrow,HA3 6ES,51.604040000000005,-0.33665,House,Entire home/apt,5,1.0,3.0,3.0,125.0,350.0,150.0,1,0.0,7,4,1,0.09,18.372228972987624,House,1.0,4.8283137373023015,0.44680851063829785,1.0
2008,5063974,50.0,1.0,Camden,NW1 8TY,51.539190000000005,-0.15562,House,Entire home/apt,10,3.5,5.0,6.0,650.0,300.0,0.0,10,100.0,2,0,1,0.04,4.1655446375266605,House,0.0,6.476972362889683,6.031914893617022,0.0
2013,5085804,100.0,5.0,Kensington and Chelsea,W10 6BZ,51.52176,-0.2185,House,Entire home/apt,7,2.0,2.0,3.0,268.0,350.0,125.0,5,10.0,63,23,5,1.33,7.068213002314919,House,1.0,5.5909869805108565,1.9680851063829787,1.0
2028,4558533,100.0,5.0,Bromley,BR1 4JL,51.4183,0.00128,House,Entire home/apt,2,1.0,1.0,1.0,55.0,200.0,30.0,1,35.0,4,1,3,0.09,13.108498475852112,House,0.0,4.007333185232471,-0.2978723404255319,0.0
2039,3155662,100.0,1.0,Tower Hamlets,E1W 2UY,51.5062,-0.06252,House,Entire home/apt,4,1.0,2.0,2.0,125.0,280.0,45.0,2,15.0,15,0,1,0.2,3.865144369244713,House,1.0,4.8283137373023015,0.44680851063829785,1.0
2047,2453720,67.0,1.0,Islington,N5 1EN,51.55964,-0.09795,House,Entire home/apt,6,2.5,3.0,4.0,120.0,500.0,40.0,1,0.0,20,0,1,0.27,5.703793008798167,House,0.0,4.787491742782046,0.39361702127659576,0.0
2059,3005980,100.0,2.0,Merton,SW19 5JX,51.43308,-0.2225,House,Entire home/apt,4,2.5,3.0,3.0,250.0,500.0,80.0,1,0.0,11,0,3,0.16,11.182100624182672,House,1.0,5.521460917862246,1.7765957446808511,1.0
