,host_id,host_response_rate,host_listings_count,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,number_of_reviews_ltm,calculated_host_listings_count,reviews_per_month,dist_from_center,property_type_clean,parking,price_log,price_RobustScaler,parking_num
10440,14310993,,1.0,Brent,NW6 7NY,51.540490000000005,-0.21453000000000003,House,Entire home/apt,5,1.5,3.0,4.0,250.0,150.0,50.0,4,75.0,7,0,1,0.15,7.485905206089574,House,1.0,5.521460917862246,1.7765957446808511,1.0
10444,2875627,,1.0,Lambeth,SW16 6BA,51.43325,-0.12237999999999999,House,Entire home/apt,8,2.5,5.0,8.0,150.0,0.0,0.0,1,0.0,0,0,1,,8.519022903587686,House,1.0,5.0106352940962555,0.7127659574468085,1.0
10446,38484456,,1.0,Richmond upon Thames,SW13 0JT,51.46771,-0.25231,House,Entire home/apt,3,1.0,2.0,2.0,97.0,0.0,0.0,1,0.0,0,0,1,,10.401645407423713,House,1.0,4.574710978503383,0.14893617021276595,1.0
10458,15669473,100.0,2.0,Islington,N7 7BQ,51.551390000000005,-0.10817,House,Entire home/apt,4,2.0,2.0,2.0,159.0,0.0,30.0,1,0.0,42,16,2,0.88,4.665170192328684,House,1.0,5.0689042022202315,0.8085106382978723,1.0
10466,6962434,,1.0,Southwark,SE22 0DS,51.447359999999996,-0.07003,House,Entire home/apt,8,2.0,4.0,5.0,145.0,500.0,75.0,1,0.0,3,0,1,0.06,7.701282359356845,House,1.0,4.976733742420574,0.6595744680851063,1.0
10471,38578093,,1.0,Lambeth,SE27 9SS,51.42706,-0.0876,House,Entire home/apt,2,1.0,1.0,1.0,75.0,0.0,0.0,1,0.0,5,0,1,0.11,9.4407124369541,House,0.0,4.31748811353631,-0.0851063829787234,0.0
10480,38628670,,1.0,Bromley,SE9 4QS,51.43622,0.04112,House,Entire home/apt,4,1.0,2.0,3.0,80.0,150.0,0.0,1,0.0,0,0,1,,13.726693520538475,House,1.0,4.382026634673881,-0.031914893617021274,1.0
10492,38649956,,1.0,Hackney,E9 6DR,51.55103,-0.04371,House,Entire home/apt,4,1.5,2.0,2.0,95.0,0.0,20.0,2,20.0,0,0,1,,6.882352254717701,House,0.0,4.553876891600541,0.1276595744680851,0.0
10494,7506957,100.0,1.0,Islington,N1 8DL,51.53205,-0.09945,House,Entire home/apt,7,2.0,3.0,3.0,450.0,350.0,125.0,3,20.0,57,9,1,1.18,2.7819578686598736,House,0.0,6.1092475827643655,3.904255319148936,0.0
10525,26804579,100.0,1.0,Lewisham,SE23 3LH,51.44894,-0.05019,House,Entire home/apt,6,2.0,3.0,4.0,120.0,0.0,40.0,1,0.0,8,5,1,0.17,8.241425046778174,House,1.0,4.787491742782046,0.39361702127659576,1.0
10526,38731805,,1.0,Haringey,N4 1PE,51.5791,-0.08795,House,Entire home/apt,6,1.5,3.0,3.0,120.0,0.0,40.0,1,50.0,5,0,1,0.11,7.970761518662254,House,0.0,4.787491742782046,0.39361702127659576,0.0
10533,37006546,,1.0,Richmond upon Thames,TW10 5EG,51.4653,-0.27935,House,Entire home/apt,8,2.5,5.0,5.0,299.0,1000.0,150.0,1,0.0,3,0,1,0.08,12.207975290656973,House,1.0,5.700443573390687,2.297872340425532,1.0
10540,34812066,100.0,2.0,Lambeth,SW4 9DU,51.45766,-0.14196,House,Entire home/apt,4,1.0,2.0,2.0,200.0,0.0,40.0,1,0.0,5,1,1,0.11,6.031836711940141,House,1.0,5.298317366548036,1.2446808510638299,1.0
10611,7258525,,1.0,Haringey,N8 9NS,51.57792,-0.11023,House,Entire home/apt,6,2.0,4.0,4.0,190.0,0.0,35.0,1,0.0,2,0,1,0.08,7.582113130671451,House,1.0,5.247024072160486,1.1382978723404256,1.0
10632,33678785,100.0,1.0,Hackney,E8 1DN,51.54586,-0.06037000000000001,House,Entire home/apt,7,2.5,4.0,5.0,180.0,500.0,60.0,1,0.0,18,6,1,0.4,5.650170094971771,House,1.0,5.19295685089021,1.0319148936170213,1.0
10640,35504187,,1.0,Wandsworth,SW115PR,51.46412,-0.1533,House,Entire home/apt,4,2.0,2.0,2.0,100.0,800.0,60.0,1,0.0,2,0,1,0.05,5.637073383000398,House,0.0,4.605170185988092,0.18085106382978725,0.0
10657,38935046,,1.0,Merton,SW19 8JH,51.42565,-0.19725,House,Entire home/apt,4,2.0,3.0,2.0,260.0,0.0,33.0,1,0.0,0,0,1,,10.844708722909829,House,0.0,5.560681631015528,1.8829787234042554,0.0
10680,7222936,,1.0,Hackney,E8 3LL,51.540820000000004,-0.06561,House,Entire home/apt,6,2.5,3.0,3.0,160.0,400.0,50.0,6,30.0,10,2,1,0.21,4.9998977719002315,House,1.0,5.075173815233827,0.8191489361702128,1.0
10685,39152407,100.0,1.0,Hackney,E5 0NH,51.55447,-0.04496,House,Entire home/apt,6,1.5,3.0,4.0,110.0,0.0,80.0,4,0.0,5,2,1,0.11,7.080050323921061,House,1.0,4.700480365792417,0.2872340425531915,1.0
10702,9915092,,1.0,Tower Hamlets,E1 4BH,51.52364,-0.04338,House,Entire home/apt,3,1.0,2.0,2.0,100.0,0.0,0.0,1,0.0,0,0,1,,5.388452620334703,House,0.0,4.605170185988092,0.18085106382978725,0.0
10705,6399123,,1.0,Lambeth,SW9 6EL,51.477309999999996,-0.11112000000000001,House,Entire home/apt,4,1.5,2.0,2.0,105.0,0.0,0.0,1,0.0,0,0,1,,3.6496952424695217,House,1.0,4.653960350157523,0.23404255319148937,1.0
10722,39263580,,1.0,Richmond upon Thames,TW12 2JW,51.42123,-0.37609000000000004,House,Entire home/apt,6,2.5,3.0,5.0,115.0,0.0,35.0,1,0.0,8,4,1,0.17,20.39679907682413,House,1.0,4.74493212836325,0.3404255319148936,1.0
10731,32080819,,1.0,Lambeth,SW16 1UF,51.43208,-0.13521,House,Entire home/apt,8,3.5,4.0,4.0,200.0,300.0,60.0,1,0.0,8,5,1,0.17,8.724705412575211,House,1.0,5.298317366548036,1.2446808510638299,1.0
10740,9557370,,1.0,Haringey,N10 1NB,51.590720000000005,-0.14841,House,Entire home/apt,6,1.5,2.0,3.0,250.0,500.0,70.0,4,10.0,49,9,1,1.02,9.22602819468808,House,1.0,5.521460917862246,1.7765957446808511,1.0
10759,12839528,,1.0,Sutton,SM1 2HX,51.36503,-0.20972,House,Entire home/apt,6,2.5,3.0,4.0,140.0,0.0,0.0,1,0.0,0,0,1,,17.30116154234955,House,1.0,4.941642422609304,0.6063829787234043,1.0
10775,12514140,100.0,1.0,Newham,E13 9HW,51.53112,0.02642,House,Entire home/apt,2,1.0,1.0,1.0,59.0,150.0,30.0,1,0.0,6,3,1,0.15,10.267771946407205,House,1.0,4.07753744390572,-0.2553191489361702,1.0
10790,39439571,,1.0,Wandsworth,SW17,51.4292,-0.16752999999999998,House,Entire home/apt,4,2.0,2.0,4.0,120.0,200.0,30.0,1,0.0,2,0,1,0.04,9.594971471100356,House,0.0,4.787491742782046,0.39361702127659576,0.0
10818,3225117,,2.0,Waltham Forest,E17 8AY,51.57782,-0.03486,House,Entire home/apt,6,1.5,3.0,3.0,85.0,100.0,30.0,1,0.0,1,0,2,0.02,9.492788948725506,House,0.0,4.442651256490317,0.02127659574468085,0.0
10835,22223364,100.0,2.0,Islington,N1 7BA,51.5358,-0.09242,House,Entire home/apt,6,2.0,3.0,0.0,237.0,200.0,0.0,1,0.0,54,8,1,1.13,3.3847894836581762,House,1.0,5.4680601411351315,1.6382978723404256,1.0
10837,39575524,,1.0,Waltham Forest,E11 3NW,51.556709999999995,0.01848,House,Entire home/apt,6,1.0,3.0,4.0,150.0,100.0,20.0,1,0.0,2,0,1,0.04,10.780833966482168,House,0.0,5.0106352940962555,0.7127659574468085,0.0
10856,39605451,,2.0,Tower Hamlets,E1 4DY,51.52264,-0.04732,House,Entire home/apt,6,1.5,3.0,3.0,120.0,0.0,0.0,1,0.0,4,0,2,0.08,5.095787078728304,House,1.0,4.787491742782046,0.39361702127659576,1.0
10862,1447765,100.0,2.0,Richmond upon Thames,TW2 5NA,51.44108,-0.3508,House,Entire home/apt,6,1.5,4.0,4.0,90.0,0.0,10.0,1,0.0,5,2,2,0.11,17.828414022693565,House,1.0,4.499809670330265,0.07446808510638298,1.0
10866,39625792,70.0,1.0,Hammersmith and Fulham,W6,51.4976,-0.23276999999999998,House,Entire home/apt,4,2.0,3.0,3.0,120.0,85.0,103.0,2,15.0,16,4,1,0.34,8.048669762000824,House,0.0,4.787491742782046,0.39361702127659576,0.0
10876,16007882,100.0,1.0,Hammersmith and Fulham,W12 9ST,51.50222,-0.24461999999999998,House,Entire home/apt,8,2.5,4.0,6.0,285.0,1000.0,80.0,4,50.0,14,5,1,0.4,8.79280463699422,House,1.0,5.652489180268651,2.148936170212766,1.0
10887,39680359,100.0,2.0,Barnet,EN4 9AZ,51.65115,-0.16184,House,Entire home/apt,2,1.0,1.0,2.0,45.0,300.0,15.0,2,0.0,10,3,1,0.22,15.988315780444037,House,1.0,3.8066624897703196,-0.40425531914893614,1.0
10898,7080525,89.0,5.0,Lambeth,SW2 4EL,51.446709999999996,-0.12628,House,Entire home/apt,6,2.5,4.0,6.0,110.0,0.0,0.0,1,0.0,0,0,3,,7.040948665899666,House,1.0,4.700480365792417,0.2872340425531915,1.0
10927,39749204,60.0,1.0,Richmond upon Thames,TW11 9BX,51.419509999999995,-0.3231,House,Entire home/apt,4,2.5,3.0,0.0,37.0,1000.0,30.0,1,50.0,2,0,1,0.04,17.385390156581597,House,1.0,3.6109179126442243,-0.48936170212765956,1.0
10942,39808320,100.0,2.0,Lewisham,SE23 3QH,51.44624,-0.059079999999999994,House,Entire home/apt,7,2.0,4.0,5.0,160.0,350.0,40.0,1,0.0,38,9,2,0.81,8.165209224687146,House,1.0,5.075173815233827,0.8191489361702128,1.0
10949,32430424,100.0,2.0,Hillingdon,HA6 2XQ,51.611259999999994,-0.43204,House,Entire home/apt,4,1.0,2.0,2.0,95.0,0.0,30.0,1,0.0,5,0,1,0.12,24.441223193555746,House,0.0,4.553876891600541,0.1276595744680851,0.0
10969,23042231,100.0,5.0,Lambeth,SW4 6BU,51.46269,-0.13526,House,Entire home/apt,6,2.0,3.0,3.0,165.0,750.0,120.0,5,40.0,34,6,5,0.79,5.3752498435934655,House,1.0,5.10594547390058,0.8723404255319149,1.0
11010,20280897,,1.0,Islington,N19 4PE,51.56467,-0.12633,House,Entire home/apt,8,2.0,4.0,2.0,198.0,500.0,50.0,4,20.0,0,0,1,,6.116773051353422,House,0.0,5.288267030694535,1.2234042553191489,0.0
11017,5419334,,1.0,Richmond upon Thames,TW2 5HB,51.443220000000004,-0.35686,House,Entire home/apt,6,3.0,3.0,3.0,120.0,1000.0,30.0,1,0.0,2,0,1,0.04,18.109335948801775,House,0.0,4.787491742782046,0.39361702127659576,0.0
11040,6973808,,1.0,Kensington and Chelsea,W10 5RZ,51.52083,-0.21048000000000003,House,Entire home/apt,6,2.0,3.0,3.0,200.0,750.0,40.0,1,0.0,0,0,1,,6.5041280409567195,House,0.0,5.298317366548036,1.2446808510638299,0.0
11058,2379677,97.0,11.0,Newham,E15 1SL,51.550290000000004,0.01007,House,Entire home/apt,14,2.0,6.0,12.0,220.0,0.0,0.0,1,0.0,48,10,11,1.0,9.933776818986932,House,0.0,5.393627546352362,1.4574468085106382,0.0
11060,9601751,,1.0,Newham,E15 4RY,51.53904,0.00413,House,Entire home/apt,4,2.0,2.0,1.0,90.0,500.0,25.0,2,10.0,2,0,1,0.08,9.050996942375695,House,0.0,4.499809670330265,0.07446808510638298,0.0
11064,13626095,100.0,2.0,Haringey,N15 3SH,51.581759999999996,-0.09757,House,Entire home/apt,5,2.0,3.0,2.0,126.0,630.0,36.0,3,18.0,1,0,1,0.02,8.114241146061648,House,0.0,4.836281906951478,0.4574468085106383,0.0
11110,19396516,,1.0,Ealing,W5 4XP,51.49412,-0.3092,House,Entire home/apt,8,1.5,3.0,6.0,175.0,0.0,40.0,1,0.0,0,0,1,,13.334981888575834,House,0.0,5.1647859739235145,0.9787234042553191,0.0
11113,21850827,,1.0,Waltham Forest,E10 5DL,51.5697,-0.01142,House,Entire home/apt,3,1.0,2.0,2.0,130.0,150.0,30.0,1,0.0,2,0,1,0.05,9.928228440548938,House,1.0,4.867534450455582,0.5,1.0
11121,16895745,,1.0,Redbridge,IG8 8JF,51.60071,0.052539999999999996,House,Entire home/apt,3,1.0,3.0,2.0,100.0,0.0,0.0,1,0.0,0,0,1,,15.521083752273771,House,1.0,4.605170185988092,0.18085106382978725,1.0
11138,27753483,0.0,1.0,Redbridge,IG8 8GU,51.60328,0.07124,House,Entire home/apt,6,4.0,4.0,4.0,500.0,0.0,0.0,1,0.0,0,0,1,,16.699592379147063,House,1.0,6.214608098422191,4.4361702127659575,1.0
11143,33795264,,1.0,Wandsworth,SW18 5BY,51.4431,-0.20135,House,Entire home/apt,4,2.5,3.0,3.0,150.0,0.0,0.0,1,0.0,0,0,1,,9.394256145610212,House,0.0,5.0106352940962555,0.7127659574468085,0.0
11144,24758416,,1.0,Hammersmith and Fulham,SW6 3RB,51.47168,-0.20207,House,Entire home/apt,6,3.0,4.0,5.0,295.0,300.0,90.0,5,0.0,0,0,1,,7.194989076822879,House,0.0,5.68697535633982,2.25531914893617,0.0
11179,39460390,,1.0,Hackney,E83PA,51.54334,-0.055689999999999996,House,Entire home/apt,2,1.0,1.0,1.0,50.0,500.0,20.0,1,0.0,4,0,1,0.09,5.696544554983065,House,1.0,3.912023005428146,-0.35106382978723405,1.0
11184,40457108,,1.0,Southwark,SE15 4JY,51.465709999999994,-0.07009,House,Entire home/apt,4,1.0,2.0,2.0,150.0,0.0,0.0,1,0.0,0,0,1,,5.925243884087708,House,0.0,5.0106352940962555,0.7127659574468085,0.0
11190,11942377,100.0,1.0,Hackney,N16 0DA,51.56111,-0.07594,House,Entire home/apt,7,2.5,4.0,4.0,179.0,450.0,60.0,1,0.0,19,3,1,0.41,6.396722581293114,House,1.0,5.187385805840755,1.0212765957446808,1.0
11206,39996844,,1.0,Richmond upon Thames,TW1 1DA,51.45284,-0.33409,House,Entire home/apt,7,2.0,4.0,4.0,600.0,500.0,100.0,1,0.0,0,0,1,,16.235919959667616,House,1.0,6.396929655216146,5.5,1.0
11216,21141319,100.0,2.0,Barnet,NW11 6LR,51.58706,-0.18537,House,Entire home/apt,4,1.5,2.0,2.0,120.0,120.0,40.0,4,40.0,18,2,2,0.39,9.757139402308066,House,1.0,4.787491742782046,0.39361702127659576,1.0
11217,22918947,,1.0,Camden,NW5 4QN,51.55447,-0.15266,House,Entire home/apt,5,2.0,3.0,2.0,150.0,300.0,50.0,1,0.0,1,0,1,0.02,5.502683293474657,House,0.0,5.0106352940962555,0.7127659574468085,0.0
11221,34808291,,1.0,Waltham Forest,E17 9ER,51.58522,-0.00558,House,Entire home/apt,4,1.5,2.0,3.0,75.0,500.0,50.0,4,15.0,4,0,1,0.11,11.426877735960806,House,1.0,4.31748811353631,-0.0851063829787234,1.0
11222,22374612,100.0,4.0,Wandsworth,SW18 3PQ,51.439890000000005,-0.1812,House,Entire home/apt,8,1.0,4.0,8.0,120.0,0.0,40.0,1,10.0,21,5,1,0.44,8.918829672321824,House,0.0,4.787491742782046,0.39361702127659576,0.0
11256,40676083,100.0,1.0,Kensington and Chelsea,SW3 2LA,51.49355,-0.16685,House,Entire home/apt,4,2.0,2.0,3.0,250.0,0.0,200.0,1,0.0,3,0,1,0.06,3.829205246302761,House,0.0,5.521460917862246,1.7765957446808511,0.0
11257,40676142,,1.0,Richmond upon Thames,SW139AG,51.48324,-0.24018,House,Entire home/apt,5,2.0,3.0,3.0,150.0,100.0,30.0,1,0.0,0,0,1,,8.94954003392447,House,1.0,5.0106352940962555,0.7127659574468085,1.0
11258,39285939,,1.0,Ealing,W3 7RJ,51.5065,-0.25495,House,Entire home/apt,1,1.0,1.0,1.0,25.0,0.0,0.0,1,0.0,0,0,1,,9.473109075374934,House,0.0,3.2188758248682006,-0.6170212765957447,0.0
11310,40803873,100.0,1.0,Southwark,SE16 3RQ,51.49116,-0.06623,House,Entire home/apt,3,1.0,1.0,2.0,85.0,200.0,30.0,2,15.0,38,6,1,0.82,4.146270370276256,House,1.0,4.442651256490317,0.02127659574468085,1.0
11313,36144553,,1.0,Hackney,E5,51.55509,-0.0424,House,Entire home/apt,5,1.0,3.0,3.0,85.0,200.0,30.0,1,0.0,1,0,1,0.03,7.255007613202131,House,1.0,4.442651256490317,0.02127659574468085,1.0
11340,5627057,,1.0,Greenwich,SE10,51.48346,0.00773,House,Entire home/apt,3,1.0,2.0,2.0,180.0,0.0,0.0,1,0.0,0,0,1,,9.185879386789322,House,0.0,5.19295685089021,1.0319148936170213,0.0
11346,14479474,,1.0,Ealing,W4,51.49713,-0.27075,House,Entire home/apt,8,2.0,3.0,3.0,250.0,0.0,50.0,1,0.0,0,0,1,,10.654019138597954,House,0.0,5.521460917862246,1.7765957446808511,0.0
11350,40967125,,1.0,Wandsworth,SW19 6JW,51.44212,-0.21133000000000002,House,Entire home/apt,3,1.5,2.0,2.0,120.0,0.0,0.0,1,0.0,0,0,1,,9.915578701806476,House,1.0,4.787491742782046,0.39361702127659576,1.0
11353,28617307,100.0,3.0,Bromley,SE26 5HX,51.41904,-0.05321,House,Entire home/apt,8,3.5,5.0,7.0,200.0,250.0,0.0,1,0.0,19,7,2,0.44,11.047354039153916,House,1.0,5.298317366548036,1.2446808510638299,1.0
11360,500558,100.0,13.0,Merton,SW19 2NB,51.41516,-0.18392999999999998,House,Entire home/apt,5,2.0,2.0,2.0,75.0,300.0,50.0,10,0.0,7,5,5,0.29,11.468832314387965,House,1.0,4.31748811353631,-0.0851063829787234,1.0
11370,30253178,95.0,29.0,Westminster,NW8 8AZ,51.520559999999996,-0.17018,House,Entire home/apt,4,2.0,2.0,2.0,185.0,0.0,50.0,1,0.0,24,3,26,0.51,3.793090819085923,House,0.0,5.220355825078324,1.0851063829787233,0.0
11393,19325674,,1.0,Haringey,N17 6LJ,51.59219,-0.08597,House,Entire home/apt,5,1.0,3.0,4.0,100.0,0.0,0.0,1,0.0,1,0,1,0.03,9.413790451465177,House,1.0,4.605170185988092,0.18085106382978725,1.0
11395,516216,92.0,3.0,Haringey,N11 2LG,51.60685,-0.12509,House,Entire home/apt,4,1.0,2.0,0.0,120.0,300.0,30.0,1,0.0,1,0,3,0.02,10.788308208942254,House,0.0,4.787491742782046,0.39361702127659576,0.0
11398,41129871,,2.0,Barnet,N10 2NT,51.6038,-0.14290999999999998,House,Entire home/apt,6,2.0,3.0,3.0,130.0,200.0,60.0,1,0.0,0,0,1,,10.578432542683421,House,1.0,4.867534450455582,0.5,1.0
11411,35681435,100.0,3.0,Lambeth,SW4 0DE,51.463840000000005,-0.14090999999999998,House,Entire home/apt,5,2.0,2.0,1.0,250.0,0.0,78.0,2,15.0,11,7,3,0.32,5.352708705950421,House,1.0,5.521460917862246,1.7765957446808511,1.0
11412,23400915,,1.0,Haringey,N15 6TA,51.57786,-0.07011,House,Entire home/apt,2,1.0,1.0,1.0,50.0,0.0,0.0,1,0.0,2,0,1,0.04,8.251583492474596,House,0.0,3.912023005428146,-0.35106382978723405,0.0
11462,14708808,,1.0,Haringey,N4,51.56906,-0.1082,House,Entire home/apt,4,1.5,2.0,2.0,199.0,0.0,50.0,1,0.0,0,0,1,,6.613486994912437,House,0.0,5.293304824724492,1.2340425531914894,0.0
11475,27684544,100.0,1.0,Hackney,E8 4PG,51.53613,-0.061970000000000004,House,Entire home/apt,6,1.0,3.0,4.0,250.0,350.0,80.0,2,0.0,44,9,1,0.98,4.855539298325955,House,0.0,5.521460917862246,1.7765957446808511,0.0
11488,26523177,70.0,2.0,Southwark,SE1 2NB,51.501909999999995,-0.0763,House,Entire home/apt,4,1.0,2.0,2.0,199.0,250.0,30.0,4,50.0,7,2,2,0.15,3.022820102732405,House,1.0,5.293304824724492,1.2340425531914894,1.0
11506,41439693,,1.0,Bromley,BR1 2PJ,51.4121,0.0413,House,Entire home/apt,8,4.0,5.0,5.0,90.0,0.0,50.0,1,40.0,2,0,1,0.05,15.485997586113914,House,1.0,4.499809670330265,0.07446808510638298,1.0
11522,39352762,100.0,1.0,Enfield,N11,51.60848,-0.11945,House,Entire home/apt,9,2.5,4.0,6.0,100.0,0.0,35.0,1,0.0,3,1,1,0.1,10.959004671489069,House,1.0,4.605170185988092,0.18085106382978725,1.0
11528,41525195,,1.0,Camden,NW6 1NP,51.551190000000005,-0.19885,House,Entire home/apt,2,1.0,1.0,1.0,100.0,0.0,0.0,1,0.0,0,0,1,,7.228897972551607,House,0.0,4.605170185988092,0.18085106382978725,0.0
11535,4161883,,1.0,Camden,NW5 3EH,51.54822,-0.14519,House,Entire home/apt,5,2.0,3.0,3.0,89.0,0.0,82.0,2,15.0,13,0,1,0.31,4.655735366063818,House,0.0,4.48863636973214,0.06382978723404255,0.0
